batch_size=256
discount_factor=0.99
epsilon=1.0
epsilon_min=0.005
epsilon_steps=5000
hidden_sizes=[]
learning_rate=0.001
train_start=100
opponent=random0.5
Round 67: lose - 10 cards left - epsilon=0.3714 - win rate: 1.47%, avg reward: -235.96
Round 68: lose - 7 cards left - epsilon=0.3628 - win rate: 1.45%, avg reward: -233.55
Round 69: lose - 9 cards left - epsilon=0.3602 - win rate: 1.43%, avg reward: -231.11
Round 70: lose - 8 cards left - epsilon=0.3590 - win rate: 1.41%, avg reward: -229.38
Round 71: lose - 16 cards left - epsilon=0.3538 - win rate: 1.39%, avg reward: -226.89
Round 72: lose - 6 cards left - epsilon=0.3453 - win rate: 1.37%, avg reward: -226.15
Round 73: lose - 2 cards left - epsilon=0.3367 - win rate: 1.35%, avg reward: -223.74
Round 74: win - epsilon=0.3302 - win rate: 1.33%, avg reward: -221.12
Round 75: lose - 9 cards left - epsilon=0.3268 - win rate: 2.63%, avg reward: -217.95
Round 76: lose - 2 cards left - epsilon=0.3238 - win rate: 2.6%, avg reward: -215.81
Round 77: lose - 6 cards left - epsilon=0.3212 - win rate: 2.56%, avg reward: -213.22
Round 78: win - epsilon=0.3198 - win rate: 2.53%, avg reward: -211.05
Round 79: lose - 10 cards left - epsilon=0.3089 - win rate: 3.75%, avg reward: -207.79
Round 80: win - epsilon=0.3049 - win rate: 3.7%, avg reward: -206.01
Round 81: lose - 11 cards left - epsilon=0.2991 - win rate: 4.88%, avg reward: -203.43
Round 82: lose - 9 cards left - epsilon=0.2961 - win rate: 4.82%, avg reward: -201.67
Round 83: lose - 7 cards left - epsilon=0.2928 - win rate: 4.76%, avg reward: -200.35
Round 84: win - epsilon=0.2812 - win rate: 4.71%, avg reward: -198.34
Round 85: lose - 3 cards left - epsilon=0.2758 - win rate: 5.81%, avg reward: -195.38
Round 86: win - epsilon=0.2699 - win rate: 5.75%, avg reward: -193.49
Round 87: lose - 5 cards left - epsilon=0.2591 - win rate: 6.82%, avg reward: -190.77
Round 88: lose - 3 cards left - epsilon=0.2547 - win rate: 6.74%, avg reward: -189.12
Round 89: win - epsilon=0.2526 - win rate: 6.67%, avg reward: -187.51
Round 90: win - epsilon=0.2502 - win rate: 7.69%, avg reward: -184.95
Round 91: lose - 2 cards left - epsilon=0.2346 - win rate: 8.7%, avg reward: -182.37
Round 92: lose - 4 cards left - epsilon=0.2339 - win rate: 8.6%, avg reward: -180.69
Round 93: win - epsilon=0.2241 - win rate: 8.51%, avg reward: -179.0
